Folder,id,time,success,problem,number of objects,number of variables,algorithm choice,phase list,phase strategy,first phase rate,population size,maximum number of function evaluations,igd,gd,hv,time cost
20231214133247_a2oe9,20231214133247_a2oe9,2023-12-14 13:32:49,True,dtlz7,3,3,4,"0 (['local', 'global'])",rate with one time change when fails,0.7,15,250,0.1557595440057382,0.021616109121839006,0.8168253920965307,1293.7687656879425
20231213213434_2lwa0,20231213213434_2lwa0,2023-12-13 21:34:38,True,dtlz1,2,3,4,0,rate with one time change when fails,0.2,11,250,0.01075030970136367,0.0034464550014427636,0.23015222282487396,1005.9563684463501
20231214124006_xiw46,20231214124006_xiw46,2023-12-14 12:40:08,False,dtlz7,3,3,4,"0 (['local', 'global'])",rate with one time change when fails,0.4,15,250,0.5061219804590923,0.032491965522440054,0.4525845468555193,716.6013035774231
20231213012829_nuasd,20231213012829_nuasd,2023-12-13 01:28:31,True,dtlz7,3,3,0,0,rate with one time change when fails,0.5,15,50,0.43704090097872467,3.568597019038878,0.4474321255467937,55.60532903671265
20231201012837_24,20231201012837_24,,,dtlz7,3,3,2,,,,,300,0.4198830474894368,0.0089527861700348,0.5917137334138329,1916.7182400226593
20231214125213_vhwod,20231214125213_vhwod,2023-12-14 12:52:15,True,dtlz7,3,3,4,"0 (['local', 'global'])",rate with one time change when fails,0.5,15,250,0.11259962301410872,0.04137394554292228,1.0173231846419424,1051.817456483841
20231203211105_17920,20231203211105_17920,,,dtlz7,3,5,2,,,0.5,15,300,0.7533234141264212,0.012935315743761422,0.33496603213165765,1848.056955575943
20231201032302_14779,20231201032302_14779,,,dtlz7,3,3,2,,,,,300,0.42604773901451154,0.0070658817803184604,0.6258776938532836,1954.4410996437073
20231206111937_15773,20231206111937_15773,,,dtlz7,2,2,3,,,0.5,11,250,0.033006842045324246,0.001288937701693091,0.6978731131696054,1542.17449092865
20231213183824_qs3lp,20231213183824_qs3lp,2023-12-13 18:38:27,True,dtlz1,2,3,0,1,continuous change when fails,0.2,11,250,0.01049919810306738,0.002726657438725988,0.2307883404795593,1023.1386213302612
